Date,Open,High,Low,Close,Adj Close,Volume
2023-03-20,68.980003,70.430000,68.190002,69.180000,68.263870,110500
2023-03-21,70.019997,70.900002,69.010002,69.970001,69.043419,104100
2023-03-22,69.800003,70.589996,68.720001,68.750000,67.839561,82700
2023-03-23,69.050003,69.720001,67.970001,68.389999,67.484337,77600
2023-03-24,68.040001,69.540001,67.739998,69.540001,68.619110,66200
2023-03-27,70.139999,70.160004,69.139999,69.610001,68.688179,63200
2023-03-28,69.410004,70.580002,69.410004,70.150002,69.221024,68000
2023-03-29,70.639999,70.639999,69.150002,69.290001,68.372421,61900
2023-03-30,69.599998,70.570000,69.599998,69.930000,69.003944,64700
2023-03-31,70.250000,71.879997,70.250000,71.480003,70.533417,152100
2023-04-03,71.320000,72.059998,70.949997,71.940002,70.987328,92700
2023-04-04,71.889999,71.889999,69.860001,70.349998,69.418381,75000
2023-04-05,70.230003,70.230003,68.930000,69.949997,69.023674,77800
2023-04-06,69.930000,70.349998,69.680000,70.150002,69.221024,61000
2023-04-10,70.160004,71.080002,69.690002,70.709999,69.773613,206900
2023-04-11,74.070000,79.550003,73.970001,78.970001,77.924225,348500
2023-04-12,78.839996,79.000000,76.519997,76.930000,75.911247,137500
2023-04-13,77.300003,78.000000,76.459999,77.000000,75.980316,188500
2023-04-14,76.889999,77.269997,75.930000,76.349998,75.338921,128100
2023-04-17,76.489998,78.540001,76.489998,78.220001,77.184166,135100
2023-04-18,78.129997,78.949997,76.220001,76.900002,75.881638,200500
2023-04-19,76.459999,76.730003,75.750000,75.959999,74.954086,166600
2023-04-20,75.699997,76.349998,75.410004,75.690002,74.687668,149400
2023-04-21,75.650002,75.980003,74.660004,74.900002,73.908127,124900
2023-04-24,74.809998,75.480003,74.779999,75.480003,74.480446,134700
2023-04-25,74.959999,75.150002,74.330002,74.360001,73.375282,155800
2023-04-26,74.010002,74.010002,73.099998,73.669998,72.694412,99900
2023-04-27,73.639999,74.540001,73.610001,74.360001,73.375282,147100
2023-04-28,74.230003,74.849998,73.440002,73.680000,72.704285,81900
2023-05-01,73.410004,74.309998,72.220001,72.279999,71.322823,115700
2023-05-02,72.349998,72.709999,70.860001,71.730003,70.780106,182700
2023-05-03,71.949997,72.980003,70.370003,71.230003,70.286728,136100
2023-05-04,70.949997,71.330002,70.080002,71.169998,70.227524,81500
2023-05-05,72.029999,72.949997,71.980003,72.070000,71.115601,78300
2023-05-08,71.930000,72.180000,71.150002,71.250000,70.306458,105000
2023-05-09,70.750000,70.919998,70.290001,70.500000,69.566399,252200
2023-05-10,71.070000,71.860001,70.050003,71.629997,70.681427,110400
2023-05-11,71.300003,71.669998,70.980003,71.260002,70.316330,73500
2023-05-12,71.440002,71.440002,70.629997,71.000000,70.059769,63800
2023-05-15,71.330002,71.529999,70.430000,70.900002,69.961098,89600
2023-05-16,70.519997,71.720001,70.370003,71.019997,70.079498,119700
2023-05-17,71.550003,72.459999,70.540001,72.290001,71.332695,194800
2023-05-18,72.010002,72.839996,71.660004,72.480003,71.520180,110900
2023-05-19,72.889999,73.050003,71.620003,72.730003,71.766869,118900
2023-05-22,72.970001,73.730003,72.440002,73.730003,72.753624,76100
2023-05-23,73.720001,74.800003,73.080002,74.000000,73.020042,198400
2023-05-24,74.029999,74.050003,73.360001,73.790001,72.812828,101600
2023-05-25,73.660004,73.800003,71.410004,72.720001,71.756996,79000
2023-05-26,72.550003,73.830002,71.550003,73.809998,72.832558,72700
2023-05-30,73.830002,73.830002,72.930000,73.519997,72.546394,75500
2023-05-31,73.449997,73.860001,72.300003,72.480003,71.520180,133200
2023-06-01,72.070000,73.099998,71.459999,71.870003,70.918251,90800
2023-06-02,72.510002,73.820000,71.739998,73.400002,72.427994,472700
2023-06-05,72.800003,72.860001,69.080002,71.160004,70.217651,139700
2023-06-06,70.779999,73.489998,70.129997,73.370003,72.398392,136400
2023-06-07,73.440002,75.709999,73.440002,75.110001,74.115341,127100
2023-06-08,75.059998,76.099998,74.110001,75.379997,74.381767,169800
2023-06-09,75.279999,75.400002,74.250000,74.459999,73.473953,91600
2023-06-12,74.690002,75.169998,74.559998,74.900002,73.908127,88000
2023-06-13,74.989998,76.260002,74.589996,75.870003,74.865280,129600
2023-06-14,76.320000,76.470001,75.230003,75.559998,74.559387,120600
